theta,delta theta,P_sh [muW],delta P_sh,theta,delta theta,P_sh [muW],delta P_sh
0,0.5,16.9,0.1,92.5,1,22.8,0.1
2.5,1,19.3,0.1,95,0.5,26.7,0.1
5,0.5,23,0.1,97.5,1,31.1,0.1
7.5,1,26.5,0.1,100,0.5,34.9,0.1
10,0.5,31.3,0.1,102.5,1,40.8,0.1
12.5,1,35.4,0.1,105,0.5,44.7,0.1
15,0.5,40.1,0.1,107.5,1,48.2,0.1
17.5,1,43.8,0.1,110,0.5,51.1,0.1
20,0.5,47.8,0.1,112.5,1,52.5,0.1
22.5,1,50.1,0.1,115,0.5,52.7,0.1
25,0.5,51.2,0.1,117.5,1,52.6,0.1
27.5,1,50.8,0.1,120,0.5,51.6,0.1
30,0.5,48.6,0.1,122.5,1,49.3,0.1
32.5,1,45.2,0.1,125,0.5,46.4,0.1
35,0.5,41.3,0.1,127.5,1,43,0.1
37.5,1,37,0.1,130,0.5,37.7,0.1
40,0.5,32.4,0.1,132.5,1,33.3,0.1
42.5,1,27.7,0.1,135,0.5,28.8,0.1
45,0.5,23.5,0.1,137.5,1,24.4,0.1
47.5,1,20.2,0.1,140,0.5,20.7,0.1
50,0.5,17,0.1,142.5,1,17.5,0.1
52.5,1,14.5,0.1,145,0.5,15.2,0.1
55,0.5,13,0.1,147.5,1,13.4,0.1
57.5,1,11.9,0.1,150,0.5,12.3,0.1
60,0.5,11.7,0.1,152.5,1,11.7,0.1
62.5,1,11.4,0.1,155,0.5,11.4,0.1
65,0.5,11.1,0.1,157.5,1,11.3,0.1
67.5,1,11.3,0.1,160,0.5,11.3,0.1
70,0.5,11.3,0.1,162.5,1,11.3,0.1
72.5,1,11.4,0.1,165,0.5,11.3,0.1
75,0.5,11.4,0.1,167.5,1,11.4,0.1
77.5,1,11.6,0.1,170,0.5,12,0.1
80,0.5,12.1,0.1,172.5,1,12.5,0.1
82.5,1,13,0.1,175,0.5,13.4,0.1
85,0.5,14.2,0.1,177.5,1,15,0.1
87.5,1,16.7,0.1,180,0.5,17,0.1
90,0.5,19.3,0.1,,,,
