I (mA),delta I,Pnoatt [muW],delta Pnoatt,Patt [muW],delta Patt,,
0,0.5,0,0.01,0,0,,
5,0.5,1.4,0.01,0,0,,"Note: wherever zero, means no measurement"
10,0.5,3,0.01,0,0,,
15,0.5,5.1,0.01,0,0,,
20,0.5,7.3,0.01,0,0,,
25,0.5,9.6,0.01,0,0,,
30,0.5,12.2,0.1,0,0,,
35,0.5,15.6,0.1,0,0,,
40,0.5,18.6,0.1,0,0,,
45,0.5,22.7,0.1,0,0,,
50,0.5,28.2,0.1,0.03,0.01,,
55,0.5,235,20,0.04,0.01,,
60,0.5,3130,20,3.2,0.01,,
65,0.5,5650,20,5.8,0.01,,
70,0.5,9120,20,8.93,0.01,,
75,0.5,12900,100,12.6,0.1,,
80,0.5,16200,100,15.7,0.1,,
85,0.5,19000,100,18.1,0.1,,
90,0.5,0,0,21.6,0.1,,
95,0.5,0,0,24.9,0.1,,
100,0.5,0,0,27.9,0.1,,
105,0.5,0,0,30.7,0.1,,
110,0.5,0,0,33.8,0.1,,
115,0.5,0,0,36.3,0.1,,
120,0.5,0,0,40.4,0.1,,
125,0.5,0,0,43.6,0.1,,
130,0.5,0,0,46.8,0.1,,
135,0.5,0,0,49.5,0.1,,
140,0.5,0,0,52.8,0.1,,
145,0.5,0,0,55.9,0.1,,
150,0.5,0,0,59.8,0.1,,
155,0.5,0,0,62.9,0.1,,
160,0.5,0,0,64.7,0.1,,
165,0.5,0,0,68.1,0.1,,
170,0.5,0,0,70.8,0.1,,
175,0.5,0,0,74.3,0.1,,
180,0.5,0,0,76.4,0.1,,
185,0.5,0,0,80.3,0.1,,
190,0.5,0,0,84.2,0.1,,
195,0.5,0,0,86,0.1,,
200,0.5,0,0,89.4,0.1,,
205,0.5,0,0,93.1,0.1,,
210,0.5,0,0,98.6,0.1,,
215,0.5,0,0,98,0.1,,
220,0.5,0,0,100,0.1,,
225,0.5,0,0,106,0.5,,
230,0.5,0,0,109,0.5,,
235,0.5,0,0,109,0.5,,
240,0.5,0,0,114,0.5,,
245,0.5,0,0,117,0.5,,
250,0.5,0,0,120,0.5,,
255,0.5,0,0,121,0.5,,
260,0.5,0,0,125,0.5,,
265,0.5,0,0,132,0.5,,
270,0.5,0,0,134,0.5,,
275,0.5,0,0,134,0.5,,
280,0.5,0,0,141,0.5,,
